article_id,Genre,Onderwerp,Onderwerp2,Politiek,Genre2,text
42135691,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,0,0,"Drie artiesten uit Valkenburg aan de Geul nemen deel aan de halve finale van het LVK. Dat zijn Fiorenza, Andy en Roy en Jordy Swillens. Nancy Hardy sprak ze in onze carnavalsstudio."
42135690,2504 - nieuwsartikel,2493 - Gezondheidszorg en corona,9,0,0,"Dagelijks worden in Nederland 40 personen die niet in het ziekenhuis verblijven, getroffen door een acute hartstilstand. Hulp in de eerste 6 minuten na de aanval is cruciaal. In onze regio heeft een ambulance meestal een aanrijdtijd van ca. 10 minuten. Hiervoor opgeleide bewoners kunnen intussen hulp bieden door de patiënt te reanimeren.
In de gemeente Valkenburg aan de Geul hangen al op goed bereikbare plaatsen AED’s (automatische externe defibrillatoren) die levensreddend zijn in bijna de helft van de gevallen. Uitbreiding van het aantal AED’s via provinciale subsidies en sponsorgelden is echter noodzakelijk. Onder leiding van oud-burgemeester Martin Eurlings en zijn zoon Luc stimuleren Stichting Hart voor Valkenburg en de gemeente de opleiding van nieuwe deskundigen.
Alle sportclubs
Maandag 9 januari werd bij SV Geuldal in Schin op Geul door Annemiek Hoofs van Hart Veilig Zuid-Limburg aan leiders en trainers een cursus gegeven over het gebruik van de AED en reanimatietechniek. Deze cursus krijgt een vervolg bij alle sportclubs in de gemeente.
Wat kunt u doen wanneer u een acute hartstilstand bij iemand anders constateert?
– roep een reactie op door kort aan het slachtoffer te schudden;
– bij geen reactie: bel zelf of laat direct 112 bellen;
– zet de voordeur en eventuele hekken open voor bereikbaarheid van de ambulance;
– luister naar de centralist en handel naar opdracht.
Foto’s Hein Reuters, TV Valkenburg"
42135689,2504 - nieuwsartikel,2495 - Sport,4,0,0,"Zaterdag 14 januari 
14.35:  MIC F1 – SVM F1                                                
14.55:  BFC F3   MIC F1                                     
15.35:  Vlug en Lenig F3 – MIC F1                                     
14.30:  MIC E2 – Margraten E2                                      
15.25:  MIC E1 – Zwart Wit E1                                    
16.20:  MIC D1 – Margraten D1                                    
17.05:  MIC DB1 – Margraten DB1                                              
18.45:  MIC DA1 – BFC DA1                                             
20.30:  MIC DS1 – Margraten DS1     
Zondag 15 januari 
11.30:  MIC DS3 – Margraten DS2           
12.45:  BDC ’90 DC1 – MIC DC1                                             
13.00:  MIC DS2 – Zwart Wit DS1"
42135688,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,0,0,Vanaf aanstaande zondag worden In het programma ‘Prinse- en Prinsessegalerie’ de nieuwe prinsenparen uit de gemeente Valkenburg aan de Geul voorgesteld. In ieder programma wordt vastelaovesmeziek gedraaid.
42135687,2504 - nieuwsartikel,2493 - Gezondheidszorg en corona,9,1,0,"Met ‘Valkenvlucht’ lanceert de gemeente Valkenburg aan de Geul een participatieproject waarin iedereen kan meedenken over Valkenburg aan de Geul als duurzame en toekomstbestendige bestemming.
Toekomstvisie
“Onze gemeente is sinds jaar en dag een populaire bestemming om te bezoeken én aantrekkelijk om te wonen en werken. Maar hoe ervaren onze inwoners al die bezoekers?,” laat de gemeente weten. Door middel van een online enquête willen ze hier een beter beeld van krijgen. De gemeente zal de resultaten van de enquête gebruiken om een gedeelde en gedragen toekomstvisie Vrijetijdseconomie voor Valkenburg aan de Geul op te stellen.
Archieffoto TV Valkenburg"
42135686,2504 - nieuwsartikel,Politiek,12,1,0,"Dinsdagavond 10 januari is Remy Meijers door de Algemene Ledenvergadering van de PGP gekozen tot nieuwe voorzitter. Tot bijna een jaar geleden was Meijers nog wethouder in de gemeente Valkenburg aan de Geul. “Als partijvoorzitter zal hij zich niet bemoeien met de lokale politiek. Zijn focus ligt op het organiseren en het uitbreiden van het netwerk,” aldus het persbericht van de PGP.
Remy Meijers: ”De partij heeft mij in mijn periode als wethouder altijd zeer goed gesteund, dus ik vind het dan ook niet meer dan normaal dat ik nu een steentje bijdraag aan het laten functioneren van de enig echt duurzame en progressieve partij in Valkenburg ad Geul.”
Foto PGP"
42135685,2504 - nieuwsartikel,2495 - Sport,4,0,0,"Zaterdag 14 januari 2023

13.30 uur: VC Landgraaf HS 3 – VC S.E.C. HS 2;
15.00 uur: Fyrfad DS 2 – VC S.E.C. DS 2;
18.00 uur: Vludoc ’98 DS 2 – VC S.E.C. DS 3.
Archieffoto TV Valkenburg"
42135684,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,0,0,"Harry Weerts en Sophie Lemmens regeren in Schin op Geul de jeugd tijdens deze vastelaovesperiode. Ze regeren als Prins Harry I en Prinses Sophie van JCV de Waterretsjes Sjin.
Foto Roel van Weersch"
42135683,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,0,0,"Vanaf zaterdag 14 januari is in de Valkenburgse bibliotheek elke zaterdag tussen 11.00 en 11.45 uur een voorleesuurtje. (Groot)ouders met hun (klein)kinderen zijn van harte welkom. “Het is belangrijk voor de taalontwikkeling van kinderen. Ze ontwikkelen op die manier een grotere woordenschat,” aldus de bibliotheek."
42135682,2504 - nieuwsartikel,2503 - Evenementen en uitgaan,2,0,0,"Dinsdagmiddag 10 januari werd tijdens een carnavalsmiddag in Oosterbeemd Mieke Möhring uitgeroepen tot de nieuwe prinses van het zorgcentrum.

De Valkenburgse, 90 jaar jong, zal het komende carnavalsseizoen regeren over CV de Sjravelère.
Foto’s Jo Knubben"
